id,BRAND,PURPOSE,OPERATING_SYSTEM,YEAR,PROCESSOR_TYPE,AMD_MODEL,INTEL_MODEL,QUALCOMM_MODEL,GRAPHICS_NUMBER,GRAPHICS_TYPE,GRAPHICS_BRAND,NVIDIA_GRAPHICS,AMD_GRAPHICS,INTEL_GRAPHICS,DRIVE_NUMBER,DRIVE_TYPE,CAPACITY,RAM_NUMBER,RAM_TYPE,RAM_CAPACITY,SCREEN_RESOLUTION,SCREEN_CONDITION,KEYBOARD_LAYOUT,KEYBOARD_CONDITION,LAPTOP_POWER_STATUS,LAPTOP_CHARGER,LAPTOP_USB,LAN_PORT,WIFI_CONDITION,BLUETOOTH_CONDITION
843,,,,,,,Xeon Gold 5218,,,,,,,,,,,,,,,,,,,,,,,
844,,,,,,,Xeon Gold 5218B,,,,,,,,,,,,,,,,,,,,,,,
845,,,,,,,Xeon Gold 5218N,,,,,,,,,,,,,,,,,,,,,,,
846,,,,,,,Xeon Gold 5218T,,,,,,,,,,,,,,,,,,,,,,,
847,,,,,,,Xeon Gold 5220,,,,,,,,,,,,,,,,,,,,,,,
848,,,,,,,Xeon Gold 5220S,,,,,,,,,,,,,,,,,,,,,,,
849,,,,,,,Xeon Gold 5220T,,,,,,,,,,,,,,,,,,,,,,,
850,,,,,,,Xeon Gold 5222,,,,,,,,,,,,,,,,,,,,,,,
851,,,,,,,Xeon Gold 6209U,,,,,,,,,,,,,,,,,,,,,,,
852,,,,,,,Xeon Gold 6210U,,,,,,,,,,,,,,,,,,,,,,,
853,,,,,,,Xeon Gold 6212U,,,,,,,,,,,,,,,,,,,,,,,
854,,,,,,,Xeon Gold 6222V,,,,,,,,,,,,,,,,,,,,,,,
855,,,,,,,Xeon Gold 6226,,,,,,,,,,,,,,,,,,,,,,,
856,,,,,,,Xeon Gold 6230,,,,,,,,,,,,,,,,,,,,,,,
857,,,,,,,Xeon Gold 6230N,,,,,,,,,,,,,,,,,,,,,,,
858,,,,,,,Xeon Gold 6230T,,,,,,,,,,,,,,,,,,,,,,,
859,,,,,,,Xeon Gold 6234,,,,,,,,,,,,,,,,,,,,,,,
860,,,,,,,Xeon Gold 6238,,,,,,,,,,,,,,,,,,,,,,,
861,,,,,,,Xeon Gold 6238L,,,,,,,,,,,,,,,,,,,,,,,
862,,,,,,,Xeon Gold 6238T,,,,,,,,,,,,,,,,,,,,,,,
863,,,,,,,Xeon Gold 6240,,,,,,,,,,,,,,,,,,,,,,,
864,,,,,,,Xeon Gold 6240L,,,,,,,,,,,,,,,,,,,,,,,
865,,,,,,,Xeon Gold 6240Y,,,,,,,,,,,,,,,,,,,,,,,
866,,,,,,,Xeon Gold 6242,,,,,,,,,,,,,,,,,,,,,,,
867,,,,,,,Xeon Gold 6244,,,,,,,,,,,,,,,,,,,,,,,
868,,,,,,,Xeon Gold 6246,,,,,,,,,,,,,,,,,,,,,,,
869,,,,,,,Xeon Gold 6248,,,,,,,,,,,,,,,,,,,,,,,
870,,,,,,,Xeon Gold 6252,,,,,,,,,,,,,,,,,,,,,,,
871,,,,,,,Xeon Gold 6252N,,,,,,,,,,,,,,,,,,,,,,,
872,,,,,,,Xeon Gold 6254,,,,,,,,,,,,,,,,,,,,,,,
873,,,,,,,Xeon Gold 6262V,,,,,,,,,,,,,,,,,,,,,,,
874,,,,,,,Xeon Platinum 8253,,,,,,,,,,,,,,,,,,,,,,,
875,,,,,,,Xeon Platinum 8256,,,,,,,,,,,,,,,,,,,,,,,
876,,,,,,,Xeon Platinum 8260,,,,,,,,,,,,,,,,,,,,,,,
877,,,,,,,Xeon Platinum 8260L,,,,,,,,,,,,,,,,,,,,,,,
878,,,,,,,Xeon Platinum 8260Y,,,,,,,,,,,,,,,,,,,,,,,
879,,,,,,,Xeon Platinum 8268,,,,,,,,,,,,,,,,,,,,,,,
880,,,,,,,Xeon Platinum 8270,,,,,,,,,,,,,,,,,,,,,,,
881,,,,,,,Xeon Platinum 8276,,,,,,,,,,,,,,,,,,,,,,,
882,,,,,,,Xeon Platinum 8276L,,,,,,,,,,,,,,,,,,,,,,,
883,,,,,,,Xeon Platinum 8280,,,,,,,,,,,,,,,,,,,,,,,
884,,,,,,,Xeon Platinum 8280L,,,,,,,,,,,,,,,,,,,,,,,
885,,,,,,,Xeon Platinum 9242,,,,,,,,,,,,,,,,,,,,,,,
886,,,,,,,Xeon Platinum 9282,,,,,,,,,,,,,,,,,,,,,,,
887,,,,,,,Xeon Silver 4208,,,,,,,,,,,,,,,,,,,,,,,
888,,,,,,,Xeon Silver 4209T,,,,,,,,,,,,,,,,,,,,,,,
889,,,,,,,Xeon Silver 4210,,,,,,,,,,,,,,,,,,,,,,,
890,,,,,,,Xeon Silver 4214,,,,,,,,,,,,,,,,,,,,,,,
891,,,,,,,Xeon Silver 4214Y,,,,,,,,,,,,,,,,,,,,,,,
892,,,,,,,Xeon Silver 4215,,,,,,,,,,,,,,,,,,,,,,,
893,,,,,,,Xeon Silver 4216,,,,,,,,,,,,,,,,,,,,,,,
894,,,,,,,Xeon Gold 6138P,,,,,,,,,,,,,,,,,,,,,,,
895,,,,,,,Xeon Bronze 3104,,,,,,,,,,,,,,,,,,,,,,,
896,,,,,,,Xeon Bronze 3106,,,,,,,,,,,,,,,,,,,,,,,
897,,,,,,,Xeon Gold 5115,,,,,,,,,,,,,,,,,,,,,,,
898,,,,,,,Xeon Gold 5118,,,,,,,,,,,,,,,,,,,,,,,
899,,,,,,,Xeon Gold 5119T,,,,,,,,,,,,,,,,,,,,,,,
900,,,,,,,Xeon Gold 5120,,,,,,,,,,,,,,,,,,,,,,,
901,,,,,,,Xeon Gold 5120T,,,,,,,,,,,,,,,,,,,,,,,
902,,,,,,,Xeon Gold 5122,,,,,,,,,,,,,,,,,,,,,,,
903,,,,,,,Xeon Gold 6126,,,,,,,,,,,,,,,,,,,,,,,
904,,,,,,,Xeon Gold 6126F,,,,,,,,,,,,,,,,,,,,,,,
905,,,,,,,Xeon Gold 6126T,,,,,,,,,,,,,,,,,,,,,,,
906,,,,,,,Xeon Gold 6128,,,,,,,,,,,,,,,,,,,,,,,
907,,,,,,,Xeon Gold 6130,,,,,,,,,,,,,,,,,,,,,,,
908,,,,,,,Xeon Gold 6130F,,,,,,,,,,,,,,,,,,,,,,,
909,,,,,,,Xeon Gold 6130T,,,,,,,,,,,,,,,,,,,,,,,
910,,,,,,,Xeon Gold 6132,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,Xeon Gold 6134,,,,,,,,,,,,,,,,,,,,,,,
912,,,,,,,Xeon Gold 6136,,,,,,,,,,,,,,,,,,,,,,,
913,,,,,,,Xeon Gold 6138,,,,,,,,,,,,,,,,,,,,,,,
914,,,,,,,Xeon Gold 6138F,,,,,,,,,,,,,,,,,,,,,,,
915,,,,,,,Xeon Gold 6138T,,,,,,,,,,,,,,,,,,,,,,,
916,,,,,,,Xeon Gold 6140,,,,,,,,,,,,,,,,,,,,,,,
917,,,,,,,Xeon Gold 6142,,,,,,,,,,,,,,,,,,,,,,,
918,,,,,,,Xeon Gold 6142F,,,,,,,,,,,,,,,,,,,,,,,
919,,,,,,,Xeon Gold 6144,,,,,,,,,,,,,,,,,,,,,,,
920,,,,,,,Xeon Gold 6146,,,,,,,,,,,,,,,,,,,,,,,
921,,,,,,,Xeon Gold 6148,,,,,,,,,,,,,,,,,,,,,,,
922,,,,,,,Xeon Gold 6148F,,,,,,,,,,,,,,,,,,,,,,,
923,,,,,,,Xeon Gold 6150,,,,,,,,,,,,,,,,,,,,,,,
924,,,,,,,Xeon Gold 6152,,,,,,,,,,,,,,,,,,,,,,,
925,,,,,,,Xeon Gold 6154,,,,,,,,,,,,,,,,,,,,,,,
926,,,,,,,Xeon Platinum 8153,,,,,,,,,,,,,,,,,,,,,,,
927,,,,,,,Xeon Platinum 8156,,,,,,,,,,,,,,,,,,,,,,,
928,,,,,,,Xeon Platinum 8158,,,,,,,,,,,,,,,,,,,,,,,
929,,,,,,,Xeon Platinum 8160,,,,,,,,,,,,,,,,,,,,,,,
930,,,,,,,Xeon Platinum 8160F,,,,,,,,,,,,,,,,,,,,,,,
931,,,,,,,Xeon Platinum 8160T,,,,,,,,,,,,,,,,,,,,,,,
932,,,,,,,Xeon Platinum 8164,,,,,,,,,,,,,,,,,,,,,,,
933,,,,,,,Xeon Platinum 8168,,,,,,,,,,,,,,,,,,,,,,,
934,,,,,,,Xeon Platinum 8170,,,,,,,,,,,,,,,,,,,,,,,
935,,,,,,,Xeon Platinum 8176,,,,,,,,,,,,,,,,,,,,,,,
936,,,,,,,Xeon Platinum 8176F,,,,,,,,,,,,,,,,,,,,,,,
937,,,,,,,Xeon Platinum 8180,,,,,,,,,,,,,,,,,,,,,,,
938,,,,,,,Xeon Silver 4108,,,,,,,,,,,,,,,,,,,,,,,
939,,,,,,,Xeon Silver 4109T,,,,,,,,,,,,,,,,,,,,,,,
940,,,,,,,Xeon Silver 4110,,,,,,,,,,,,,,,,,,,,,,,
941,,,,,,,Xeon Silver 4112,,,,,,,,,,,,,,,,,,,,,,,
942,,,,,,,Xeon Silver 4114,,,,,,,,,,,,,,,,,,,,,,,
943,,,,,,,Xeon Silver 4114T,,,,,,,,,,,,,,,,,,,,,,,
944,,,,,,,Xeon Silver 4116,,,,,,,,,,,,,,,,,,,,,,,
945,,,,,,,Xeon Silver 4116T,,,,,,,,,,,,,,,,,,,,,,,
946,,,,,,,Xeon CPU Max 9460,,,,,,,,,,,,,,,,,,,,,,,
947,,,,,,,Xeon CPU Max 9462,,,,,,,,,,,,,,,,,,,,,,,
948,,,,,,,Xeon CPU Max 9468,,,,,,,,,,,,,,,,,,,,,,,
949,,,,,,,Xeon CPU Max 9470,,,,,,,,,,,,,,,,,,,,,,,
950,,,,,,,Xeon CPU Max 9480,,,,,,,,,,,,,,,,,,,,,,,
951,,,,,,,Xeon E-2314,,,,,,,,,,,,,,,,,,,,,,,
952,,,,,,,Xeon E-2324G,,,,,,,,,,,,,,,,,,,,,,,
953,,,,,,,Xeon E-2334,,,,,,,,,,,,,,,,,,,,,,,
954,,,,,,,Xeon E-2336,,,,,,,,,,,,,,,,,,,,,,,
955,,,,,,,Xeon E-2356G,,,,,,,,,,,,,,,,,,,,,,,
956,,,,,,,Xeon E-2374G,,,,,,,,,,,,,,,,,,,,,,,
957,,,,,,,Xeon E-2378,,,,,,,,,,,,,,,,,,,,,,,
958,,,,,,,Xeon E-2378G,,,,,,,,,,,,,,,,,,,,,,,
959,,,,,,,Xeon E-2386G,,,,,,,,,,,,,,,,,,,,,,,
960,,,,,,,Xeon E-2388G,,,,,,,,,,,,,,,,,,,,,,,
961,,,,,,,Xeon E-2226GE,,,,,,,,,,,,,,,,,,,,,,,
962,,,,,,,Xeon E-2254ME,,,,,,,,,,,,,,,,,,,,,,,
963,,,,,,,Xeon E-2254ML,,,,,,,,,,,,,,,,,,,,,,,
964,,,,,,,Xeon E-2276ME,,,,,,,,,,,,,,,,,,,,,,,
965,,,,,,,Xeon E-2276ML,,,,,,,,,,,,,,,,,,,,,,,
966,,,,,,,Xeon E-2278GE,,,,,,,,,,,,,,,,,,,,,,,
967,,,,,,,Xeon E-2278GEL,,,,,,,,,,,,,,,,,,,,,,,
968,,,,,,,Xeon E-2224,,,,,,,,,,,,,,,,,,,,,,,
969,,,,,,,Xeon E-2224G,,,,,,,,,,,,,,,,,,,,,,,
970,,,,,,,Xeon E-2226G,,,,,,,,,,,,,,,,,,,,,,,
971,,,,,,,Xeon E-2234,,,,,,,,,,,,,,,,,,,,,,,
972,,,,,,,Xeon E-2236,,,,,,,,,,,,,,,,,,,,,,,
973,,,,,,,Xeon E-2244G,,,,,,,,,,,,,,,,,,,,,,,
974,,,,,,,Xeon E-2246G,,,,,,,,,,,,,,,,,,,,,,,
975,,,,,,,Xeon E-2274G,,,,,,,,,,,,,,,,,,,,,,,
976,,,,,,,Xeon E-2276G,,,,,,,,,,,,,,,,,,,,,,,
977,,,,,,,Xeon E-2276M,,,,,,,,,,,,,,,,,,,,,,,
978,,,,,,,Xeon E-2278G,,,,,,,,,,,,,,,,,,,,,,,
979,,,,,,,Xeon E-2286G,,,,,,,,,,,,,,,,,,,,,,,
980,,,,,,,Xeon E-2286M,,,,,,,,,,,,,,,,,,,,,,,
981,,,,,,,Xeon E-2288G,,,,,,,,,,,,,,,,,,,,,,,
982,,,,,,,Xeon E-2124,,,,,,,,,,,,,,,,,,,,,,,
983,,,,,,,Xeon E-2124G,,,,,,,,,,,,,,,,,,,,,,,
984,,,,,,,Xeon E-2126G,,,,,,,,,,,,,,,,,,,,,,,
985,,,,,,,Xeon E-2134,,,,,,,,,,,,,,,,,,,,,,,
986,,,,,,,Xeon E-2136,,,,,,,,,,,,,,,,,,,,,,,
987,,,,,,,Xeon E-2144G,,,,,,,,,,,,,,,,,,,,,,,
988,,,,,,,Xeon E-2146G,,,,,,,,,,,,,,,,,,,,,,,
989,,,,,,,Xeon E-2174G,,,,,,,,,,,,,,,,,,,,,,,
990,,,,,,,Xeon E-2176G,,,,,,,,,,,,,,,,,,,,,,,
991,,,,,,,Xeon E-2186G,,,,,,,,,,,,,,,,,,,,,,,
992,,,,,,,Xeon E-2176M,,,,,,,,,,,,,,,,,,,,,,,
993,,,,,,,Xeon E-2186M,,,,,,,,,,,,,,,,,,,,,,,
994,,,,,,,Xeon W3-2423,,,,,,,,,,,,,,,,,,,,,,,
995,,,,,,,Xeon W3-2425,,,,,,,,,,,,,,,,,,,,,,,
996,,,,,,,Xeon W3-2435,,,,,,,,,,,,,,,,,,,,,,,
997,,,,,,,Xeon W5-2445,,,,,,,,,,,,,,,,,,,,,,,
998,,,,,,,Xeon W5-2455X,,,,,,,,,,,,,,,,,,,,,,,
999,,,,,,,Xeon W5-2465X,,,,,,,,,,,,,,,,,,,,,,,
1000,,,,,,,Xeon W5-3425,,,,,,,,,,,,,,,,,,,,,,,
1001,,,,,,,Xeon W5-3435X,,,,,,,,,,,,,,,,,,,,,,,
1002,,,,,,,Xeon W7-2475X,,,,,,,,,,,,,,,,,,,,,,,
1003,,,,,,,Xeon W7-2495X,,,,,,,,,,,,,,,,,,,,,,,
1004,,,,,,,Xeon W7-3445,,,,,,,,,,,,,,,,,,,,,,,
1005,,,,,,,Xeon W7-3455,,,,,,,,,,,,,,,,,,,,,,,
1006,,,,,,,Xeon W7-3465X,,,,,,,,,,,,,,,,,,,,,,,
1007,,,,,,,Xeon W9-3475X,,,,,,,,,,,,,,,,,,,,,,,
1008,,,,,,,Xeon W9-3495X,,,,,,,,,,,,,,,,,,,,,,,
1009,,,,,,,Xeon W-11155MLE,,,,,,,,,,,,,,,,,,,,,,,
1010,,,,,,,Xeon W-11155MRE,,,,,,,,,,,,,,,,,,,,,,,
1011,,,,,,,Xeon W-11555MLE,,,,,,,,,,,,,,,,,,,,,,,
1012,,,,,,,Xeon W-11555MRE,,,,,,,,,,,,,,,,,,,,,,,
1013,,,,,,,Xeon W-11865MLE,,,,,,,,,,,,,,,,,,,,,,,
1014,,,,,,,Xeon W-11865MRE,,,,,,,,,,,,,,,,,,,,,,,
1015,,,,,,,Xeon W-3323,,,,,,,,,,,,,,,,,,,,,,,
1016,,,,,,,Xeon W-3335,,,,,,,,,,,,,,,,,,,,,,,
1017,,,,,,,Xeon W-3345,,,,,,,,,,,,,,,,,,,,,,,
1018,,,,,,,Xeon W-3365,,,,,,,,,,,,,,,,,,,,,,,
1019,,,,,,,Xeon W-3375,,,,,,,,,,,,,,,,,,,,,,,
1020,,,,,,,Xeon W-11855M,,,,,,,,,,,,,,,,,,,,,,,
1021,,,,,,,Xeon W-11955M,,,,,,,,,,,,,,,,,,,,,,,
1022,,,,,,,Xeon W-1350,,,,,,,,,,,,,,,,,,,,,,,
1023,,,,,,,Xeon W-1350P,,,,,,,,,,,,,,,,,,,,,,,
1024,,,,,,,Xeon W-1370,,,,,,,,,,,,,,,,,,,,,,,
1025,,,,,,,Xeon W-1370P,,,,,,,,,,,,,,,,,,,,,,,
1026,,,,,,,Xeon W-1390,,,,,,,,,,,,,,,,,,,,,,,
1027,,,,,,,Xeon W-1390P,,,,,,,,,,,,,,,,,,,,,,,
1028,,,,,,,Xeon W-1390T,,,,,,,,,,,,,,,,,,,,,,,
1029,,,,,,,Xeon W-10855M,,,,,,,,,,,,,,,,,,,,,,,
1030,,,,,,,Xeon W-10885M,,,,,,,,,,,,,,,,,,,,,,,
1031,,,,,,,Xeon W-1250,,,,,,,,,,,,,,,,,,,,,,,
1032,,,,,,,Xeon W-1250E,,,,,,,,,,,,,,,,,,,,,,,
1033,,,,,,,Xeon W-1250P,,,,,,,,,,,,,,,,,,,,,,,
1034,,,,,,,Xeon W-1250TE,,,,,,,,,,,,,,,,,,,,,,,
1035,,,,,,,Xeon W-1270,,,,,,,,,,,,,,,,,,,,,,,
1036,,,,,,,Xeon W-1270E,,,,,,,,,,,,,,,,,,,,,,,
1037,,,,,,,Xeon W-1270P,,,,,,,,,,,,,,,,,,,,,,,
1038,,,,,,,Xeon W-1270TE,,,,,,,,,,,,,,,,,,,,,,,
1039,,,,,,,Xeon W-1290,,,,,,,,,,,,,,,,,,,,,,,
1040,,,,,,,Xeon W-1290E,,,,,,,,,,,,,,,,,,,,,,,
1041,,,,,,,Xeon W-1290P,,,,,,,,,,,,,,,,,,,,,,,
1042,,,,,,,Xeon W-1290T,,,,,,,,,,,,,,,,,,,,,,,
1043,,,,,,,Xeon W-1290TE,,,,,,,,,,,,,,,,,,,,,,,
1044,,,,,,,Xeon W-2223,,,,,,,,,,,,,,,,,,,,,,,
1045,,,,,,,Xeon W-2225,,,,,,,,,,,,,,,,,,,,,,,
1046,,,,,,,Xeon W-2235,,,,,,,,,,,,,,,,,,,,,,,
1047,,,,,,,Xeon W-2245,,,,,,,,,,,,,,,,,,,,,,,
1048,,,,,,,Xeon W-2255,,,,,,,,,,,,,,,,,,,,,,,
1049,,,,,,,Xeon W-2265,,,,,,,,,,,,,,,,,,,,,,,
1050,,,,,,,Xeon W-2275,,,,,,,,,,,,,,,,,,,,,,,
1051,,,,,,,Xeon W-2295,,,,,,,,,,,,,,,,,,,,,,,
1052,,,,,,,Xeon W-3223,,,,,,,,,,,,,,,,,,,,,,,
1053,,,,,,,Xeon W-3225,,,,,,,,,,,,,,,,,,,,,,,
1054,,,,,,,Xeon W-3235,,,,,,,,,,,,,,,,,,,,,,,
1055,,,,,,,Xeon W-3245,,,,,,,,,,,,,,,,,,,,,,,
1056,,,,,,,Xeon W-3245M,,,,,,,,,,,,,,,,,,,,,,,
1057,,,,,,,Xeon W-3265,,,,,,,,,,,,,,,,,,,,,,,
1058,,,,,,,Xeon W-3265M,,,,,,,,,,,,,,,,,,,,,,,
1059,,,,,,,Xeon W-3275,,,,,,,,,,,,,,,,,,,,,,,
1060,,,,,,,Xeon W-3275M,,,,,,,,,,,,,,,,,,,,,,,
1061,,,,,,,Xeon W-3175X,,,,,,,,,,,,,,,,,,,,,,,
1062,,,,,,,Xeon W-2123,,,,,,,,,,,,,,,,,,,,,,,
1063,,,,,,,Xeon W-2125,,,,,,,,,,,,,,,,,,,,,,,
1064,,,,,,,Xeon W-2133,,,,,,,,,,,,,,,,,,,,,,,
1065,,,,,,,Xeon W-2135,,,,,,,,,,,,,,,,,,,,,,,
1066,,,,,,,Xeon W-2145,,,,,,,,,,,,,,,,,,,,,,,
1067,,,,,,,Xeon W-2155,,,,,,,,,,,,,,,,,,,,,,,
1068,,,,,,,Xeon W-2175,,,,,,,,,,,,,,,,,,,,,,,
1069,,,,,,,Xeon W-2195,,,,,,,,,,,,,,,,,,,,,,,
1070,,,,,,,Xeon D-2745NX,,,,,,,,,,,,,,,,,,,,,,,
1071,,,,,,,Xeon D-2757NX,,,,,,,,,,,,,,,,,,,,,,,
1072,,,,,,,Xeon D-2777NX,,,,,,,,,,,,,,,,,,,,,,,
1073,,,,,,,Xeon D-2798NX,,,,,,,,,,,,,,,,,,,,,,,
1074,,,,,,,Xeon D-1702,,,,,,,,,,,,,,,,,,,,,,,
1075,,,,,,,Xeon D-1712TR,,,,,,,,,,,,,,,,,,,,,,,
1076,,,,,,,Xeon D-1713NT,,,,,,,,,,,,,,,,,,,,,,,
1077,,,,,,,Xeon D-1713NTE,,,,,,,,,,,,,,,,,,,,,,,
1078,,,,,,,Xeon D-1714,,,,,,,,,,,,,,,,,,,,,,,
1079,,,,,,,Xeon D-1715TER,,,,,,,,,,,,,,,,,,,,,,,
1080,,,,,,,Xeon D-1718T,,,,,,,,,,,,,,,,,,,,,,,
1081,,,,,,,Xeon D-1722NE,,,,,,,,,,,,,,,,,,,,,,,
1082,,,,,,,Xeon D-1726,,,,,,,,,,,,,,,,,,,,,,,
1083,,,,,,,Xeon D-1732TE,,,,,,,,,,,,,,,,,,,,,,,
1084,,,,,,,Xeon D-1733NT,,,,,,,,,,,,,,,,,,,,,,,
1085,,,,,,,Xeon D-1734NT,,,,,,,,,,,,,,,,,,,,,,,
1086,,,,,,,Xeon D-1735TR,,,,,,,,,,,,,,,,,,,,,,,
1087,,,,,,,Xeon D-1736,,,,,,,,,,,,,,,,,,,,,,,
1088,,,,,,,Xeon D-1736NT,,,,,,,,,,,,,,,,,,,,,,,
1089,,,,,,,Xeon D-1739,,,,,,,,,,,,,,,,,,,,,,,
1090,,,,,,,Xeon D-1746TER,,,,,,,,,,,,,,,,,,,,,,,
1091,,,,,,,Xeon D-1747NTE,,,,,,,,,,,,,,,,,,,,,,,
1092,,,,,,,Xeon D-1748TE,,,,,,,,,,,,,,,,,,,,,,,
1093,,,,,,,Xeon D-1749NT,,,,,,,,,,,,,,,,,,,,,,,
1094,,,,,,,Xeon D-2712T,,,,,,,,,,,,,,,,,,,,,,,
1095,,,,,,,Xeon D-2733NT,,,,,,,,,,,,,,,,,,,,,,,
1096,,,,,,,Xeon D-2738,,,,,,,,,,,,,,,,,,,,,,,
1097,,,,,,,Xeon D-2752NTE,,,,,,,,,,,,,,,,,,,,,,,
1098,,,,,,,Xeon D-2752TER,,,,,,,,,,,,,,,,,,,,,,,
1099,,,,,,,Xeon D-2753NT,,,,,,,,,,,,,,,,,,,,,,,
1100,,,,,,,Xeon D-2766NT,,,,,,,,,,,,,,,,,,,,,,,
1101,,,,,,,Xeon D-2775TE,,,,,,,,,,,,,,,,,,,,,,,
1102,,,,,,,Xeon D-2776NT,,,,,,,,,,,,,,,,,,,,,,,
1103,,,,,,,Xeon D-2779,,,,,,,,,,,,,,,,,,,,,,,
1104,,,,,,,Xeon D-2786NTE,,,,,,,,,,,,,,,,,,,,,,,
1105,,,,,,,Xeon D-2795NT,,,,,,,,,,,,,,,,,,,,,,,
1106,,,,,,,Xeon D-2796NT,,,,,,,,,,,,,,,,,,,,,,,
1107,,,,,,,Xeon D-2796TE,,,,,,,,,,,,,,,,,,,,,,,
1108,,,,,,,Xeon D-2798NT,,,,,,,,,,,,,,,,,,,,,,,
1109,,,,,,,Xeon D-2799,,,,,,,,,,,,,,,,,,,,,,,
1110,,,,,,,Xeon D-1602,,,,,,,,,,,,,,,,,,,,,,,
1111,,,,,,,Xeon D-1622,,,,,,,,,,,,,,,,,,,,,,,
1112,,,,,,,Xeon D-1623N,,,,,,,,,,,,,,,,,,,,,,,
1113,,,,,,,Xeon D-1627,,,,,,,,,,,,,,,,,,,,,,,
1114,,,,,,,Xeon D-1633N,,,,,,,,,,,,,,,,,,,,,,,
1115,,,,,,,Xeon D-1637,,,,,,,,,,,,,,,,,,,,,,,
1116,,,,,,,Xeon D-1649N,,,,,,,,,,,,,,,,,,,,,,,
1117,,,,,,,Xeon D-1653N,,,,,,,,,,,,,,,,,,,,,,,
1118,,,,,,,Xeon D-2123IT,,,,,,,,,,,,,,,,,,,,,,,
1119,,,,,,,Xeon D-2141I,,,,,,,,,,,,,,,,,,,,,,,
1120,,,,,,,Xeon D-2142IT,,,,,,,,,,,,,,,,,,,,,,,
1121,,,,,,,Xeon D-2143IT,,,,,,,,,,,,,,,,,,,,,,,
1122,,,,,,,Xeon D-2145NT,,,,,,,,,,,,,,,,,,,,,,,
1123,,,,,,,Xeon D-2146NT,,,,,,,,,,,,,,,,,,,,,,,
1124,,,,,,,Xeon D-2161I,,,,,,,,,,,,,,,,,,,,,,,
1125,,,,,,,Xeon D-2163IT,,,,,,,,,,,,,,,,,,,,,,,
1126,,,,,,,Xeon D-2166NT,,,,,,,,,,,,,,,,,,,,,,,
1127,,,,,,,Xeon D-2173IT,,,,,,,,,,,,,,,,,,,,,,,
1128,,,,,,,Xeon D-2177NT,,,,,,,,,,,,,,,,,,,,,,,
1129,,,,,,,Xeon D-2183IT,,,,,,,,,,,,,,,,,,,,,,,
1130,,,,,,,Xeon D-2187NT,,,,,,,,,,,,,,,,,,,,,,,
1131,,,,,,,Xeon D-1513N,,,,,,,,,,,,,,,,,,,,,,,
1132,,,,,,,Xeon D-1523N,,,,,,,,,,,,,,,,,,,,,,,
1133,,,,,,,Xeon D-1533N,,,,,,,,,,,,,,,,,,,,,,,
1134,,,,,,,Xeon D-1543N,,,,,,,,,,,,,,,,,,,,,,,
1135,,,,,,,Xeon D-1553N,,,,,,,,,,,,,,,,,,,,,,,
1136,,,,,,,Xeon D-1529,,,,,,,,,,,,,,,,,,,,,,,
1137,,,,,,,Xeon D-1539,,,,,,,,,,,,,,,,,,,,,,,
1138,,,,,,,Xeon D-1559,,,,,,,,,,,,,,,,,,,,,,,
1139,,,,,,,Xeon D-1557,,,,,,,,,,,,,,,,,,,,,,,
1140,,,,,,,Xeon D-1567,,,,,,,,,,,,,,,,,,,,,,,
1141,,,,,,,Xeon D-1571,,,,,,,,,,,,,,,,,,,,,,,
1142,,,,,,,Xeon D-1577,,,,,,,,,,,,,,,,,,,,,,,
1143,,,,,,,Xeon D-1518,,,,,,,,,,,,,,,,,,,,,,,
1144,,,,,,,Xeon D-1521,,,,,,,,,,,,,,,,,,,,,,,
1145,,,,,,,Xeon D-1527,,,,,,,,,,,,,,,,,,,,,,,
1146,,,,,,,Xeon D-1528,,,,,,,,,,,,,,,,,,,,,,,
1147,,,,,,,Xeon D-1531,,,,,,,,,,,,,,,,,,,,,,,
1148,,,,,,,Xeon D-1537,,,,,,,,,,,,,,,,,,,,,,,
1149,,,,,,,Xeon D-1541,,,,,,,,,,,,,,,,,,,,,,,
1150,,,,,,,Xeon D-1548,,,,,,,,,,,,,,,,,,,,,,,
1151,,,,,,,Xeon D-1520,,,,,,,,,,,,,,,,,,,,,,,
1152,,,,,,,Xeon D-1540,,,,,,,,,,,,,,,,,,,,,,,
1153,,,,,,,Xeon E7-8894 v4,,,,,,,,,,,,,,,,,,,,,,,
1154,,,,,,,Xeon E7-4809 v4,,,,,,,,,,,,,,,,,,,,,,,
1155,,,,,,,Xeon E7-4820 v4,,,,,,,,,,,,,,,,,,,,,,,
1156,,,,,,,Xeon E7-4830 v4,,,,,,,,,,,,,,,,,,,,,,,
1157,,,,,,,Xeon E7-4850 v4,,,,,,,,,,,,,,,,,,,,,,,
1158,,,,,,,Xeon E7-8860 v4,,,,,,,,,,,,,,,,,,,,,,,
1159,,,,,,,Xeon E7-8867 v4,,,,,,,,,,,,,,,,,,,,,,,
1160,,,,,,,Xeon E7-8870 v4,,,,,,,,,,,,,,,,,,,,,,,
1161,,,,,,,Xeon E7-8880 v4,,,,,,,,,,,,,,,,,,,,,,,
1162,,,,,,,Xeon E7-8890 v4,,,,,,,,,,,,,,,,,,,,,,,
1163,,,,,,,Xeon E7-8891 v4,,,,,,,,,,,,,,,,,,,,,,,
1164,,,,,,,Xeon E7-8893 v4,,,,,,,,,,,,,,,,,,,,,,,
1165,,,,,,,Xeon E7-4809 v3,,,,,,,,,,,,,,,,,,,,,,,
